resource_name,settlement_point,hsl,qse,company,capacity_mw,site,eff_capacity_mw,duration_hours,da_energy_rev,rt_energy_rev,deviation_penalty,regup_rev,regdn_rev,rrs_rev,ecrs_rev,nonspin_rev,total_rev,rank,optimization_rate
ESTONIAN_ESR1,ESTONIAN_ALL,101.6,QENE14,Enel North America,101.6,Estonian Storage,101.6,1.74,516571.48791666667,383507.28637311666,0.0,5555.838814349775,7790.091298444457,161791.51615018814,26946.336466466655,155673.85542828077,1257836.4124475128,43,89.8479496377447
FTDUNCAN_ESR1,FTDUNCAN_RN,100.0,QTEN26,Excelsior Energy Capital,87.1,Fort Duncan BESS,87.1,1.99,225084.223,804234.5844942749,0.0,4429.945294667987,3190.606974119175,84173.49980622463,19420.765410687112,101330.47779315876,1241864.1027731327,44,88.41782133876245
ANDMDSLR_ESR1,ANDMDSLR_ALL,81.9,QIPLU2,YIPLU2,,,81.9,1.95,563405.0294166666,429283.55610239995,0.0,21142.300673700094,27019.907476681336,29301.622743252756,20813.71004817282,137437.68328024153,1228403.8097411152,45,132.4236508020775
CLO_ESR2,CLO_RN,100.0,QMEA1,Jupiter Power,101.5,Callisto 1 Energy Center Unit 1,101.5,2.09,57144.003666666664,635011.211739575,0.0,1898.5803712159004,3612.2352690071234,77055.81633555047,139196.5539196402,294564.1921628551,1208482.5934645105,46,73.15202146116825
MADERO_ESR2,MADERO_RN,100.0,QTEN25,Eolian,100.0,Madero Grid 1,100.0,2.73,352700.8060833333,465912.6053005333,0.0,2007.607103791467,3341.0002818316207,123279.35586816151,36785.29593603694,215995.64042118675,1200022.310994875,47,95.77687540554524
LMO_ESR1,LMO_ESR_RN,100.0,QSHEL2,Key Capture Energy,105.0,Limousin Oak Storage,105.0,2.16,-61656.53675,1208719.72973145,0.0,790.9710803582517,0.000163659458146,5991.988989268897,6471.587762187908,38869.067519685275,1199186.8084966098,48,75.56100271218597
CORAZON_ESR1,CORAZON_RN,200.0,QHEI4,YGUAJI,,,200.0,1.22,335233.6990833333,364674.73378425004,0.0,11442.773995505033,8977.821792900544,275657.5973490105,102485.75399918474,100263.67139408605,1198736.0513982703,49,80.67487418238275
FLOWERII_ESR1,FLOWERII_RN,95.0,QJPEM,Jupiter Power,119.9,Flower Valley 1 (DGR),119.9,1.98,0.0,1015565.2867487915,0.0,5511.295025438522,18287.532154971374,43948.65942455066,50192.706339331635,64367.63093769009,1197873.110630774,50,45.45029409859514
CLO_ESR1,CLO_RN,100.0,QMEA1,Jupiter Power,101.5,Callisto 1 Energy Center Unit 1,101.5,2.09,48387.54708333333,643624.2728184001,0.0,1858.3109831937013,3138.3626983633926,52852.42110372598,137024.31448739066,291381.9744327206,1178267.2036071275,51,73.78151171524026
PLATINUM_ESR1,PLATINUM_RN,133.0,QSUE99,YSUEZ,,,133.0,1.91,475611.7159166666,544180.0602564167,0.0,30461.387264170116,14691.495093762356,47807.35214952123,24943.675797584954,29724.366324614755,1167420.0528027369,52,94.17436469006113
