rank,resource_name,da_energy_rev,rt_energy_rev,deviation_penalty,regup_rev,regdn_rev,rrs_rev,ecrs_rev,nonspin_rev,total_rev,settlement_point,hsl,qse,company,capacity_mw,site,eff_capacity_mw,duration_hours,optimization_rate
161,CAMWIND_ESR1,6514.039333333333,60612.02372899999,0.0,2446.392390958699,7179.06354522451,5191.725932235573,7243.594525267434,29742.191547536906,118929.03100355645,CAMWIND_RN,0.0,QTEN26,Ingka Investments,16.4,Cameron Storage,16.4,2.0,73.79400351804189
162,AE_ESR1,36931.539000000004,32279.27823166666,0.0,2856.5382203640143,75.5282323434829,18340.200045180416,13289.254360145993,14376.69395234635,118149.0320420469,AE_RN,9.9,QTEN26,TotalEnergies,149.2,Myrtle Storage U1,149.2,1.64,4.115629507448956
163,CFLAT_ES_ESR1,0.0,118133.64766610834,0.0,0.0,0.0,0.0,0.0,0.0,118133.64766610834,CFLAT_ES_RN,100.0,QTEN26,YCITFE,,,100.0,2.19,23.931973543982558
164,PEARSALL_ESR1,14162.003166666664,54330.7414247,0.0,9539.532559681316,23.856108353427025,1183.4878561076393,2600.2380730239456,35050.408173717755,116890.26736225073,PEARSALL_RN,9.9,QTEN26,YSUNSE,,,9.9,2.27,77.48012821069591
165,MEDILA_ESR1,73601.35225,42695.26747111667,0.0,0.0,0.0,0.0,0.0,0.0,116296.61972111664,MEDILA_RN,9.9,QTEN30,YREGME,,,9.9,1.25,16.534528934097807
166,NWF_ESR1,0.0,-47864.200556641656,0.0,1.0537192726355248e-05,1.506684027777778e-05,163537.21033068665,0.0,0.0,115673.00979964896,NWF_NWF1,36.0,QDUKER,Duke Energy,36.0,Notrees,36.0,0.35,30.191145536918928
167,BELD_ESR1,0.0,95263.30068914167,0.0,470.5707195337363,1517.2757358444528,4658.839272023553,2855.31568114285,10027.390732644697,114792.69283033095,TRIPBUT1_RN,7.5,QJPEM,Jupiter Power,7.5,Triple Butte (DGR),7.5,2.0,67.30508516476768
168,WOVER_ESR1,0.0,92033.95442833332,0.0,165.7029384024749,656.1050200378781,0.0001800059320296,1965.7087959412956,19517.97358754522,114339.44495026613,WOV_BESS_RN,9.9,QTEN26,Gore Street Energy Storage Fund,9.9,Westover (DGR),9.9,2.02,47.081114928444634
169,PYOTE_ESR1,0.0,90476.30095291667,0.0,732.8863596537735,2529.6841645728314,5592.33302056639,5853.262453394246,9008.483085888942,114192.95003699284,SWOOSE1_U1,9.9,QJPEM,Jupiter Power,9.9,Swoose (DGR),9.9,2.0,46.64653841146706
170,HAMILTON_ESR1,11446.901083333332,69676.03274999998,0.0,0.0001496832112747,466.10279571671583,12745.0326362169,11541.546114820492,7882.09780625246,113757.7133360231,HAMI_BESS_RN,9.9,QBEEP1,Hunt Energy Network,9.9,Hamilton Bess (DGR) U1,9.9,1.0,60.972770430584916
171,PIN_BESS_ESR1,33090.73966666667,79685.6238683583,0.0,0.0,0.0,0.0,0.0,0.0,112776.36353502497,PIN_BESS_RN,200.0,QTEN34,YPINTP,,,200.0,1.42,-10.142921005562647
172,FORTMA_ESR1,55719.68825,9287.415315833332,0.0,11103.876203080861,9156.295564036158,18724.38928774356,5404.9421055535995,606.9029137052073,110003.50963995271,FORTMA_RN,9.8,QTEN30,YMASON,,,9.8,1.22,67.62312803937506
173,RIO_GRAN_ESR2,38245.41791666666,23652.54132916667,0.0,1249.4233907075272,605.6561897345343,25679.16179564677,4559.492669533624,10625.973862224972,104617.66715368077,RIOG_ESR2_RN,9.9,QPROLO,Prologis,9.9,Rio Grande City BESS 2,9.9,2.26,18.36854590818507
174,FRMRSVLW_ESR2,33756.17625,24378.82856045,0.0,9946.232563508864,9496.250419301407,14302.77162394199,1675.2382801440203,8458.555471690162,102014.05316903643,FRMR_BS2_RN1,9.9,QTEN26,Hunt Energy Network,9.9,Farmersville West BESS 2 (DGR),9.9,1.52,64.44398282416857
175,GRDNE_ESR1,10879.037916666666,58562.40379999999,0.0,0.0001496832112747,474.49103353370657,12565.73830944616,11560.915378946502,7717.381557864687,101759.96814614092,GRDNE_ESR_RN,9.9,QBEEP1,YHENI1,,,9.9,0.84,64.70173984393439
176,CITRUSCY_ESR1,44693.59766666666,11659.613576666663,0.0,1445.2665804423737,1162.1991462916196,13180.394132052537,14014.86134969661,15250.428948843335,101406.3614006598,CITRUSCY_RN,9.9,QPROLO,Prologis,9.9,Citrus City BESS,9.9,2.26,65.54936529331773
177,WR_ESR1,36928.33841666666,34985.679083241674,0.0,2861.286539266609,2374.4358293724904,4546.590698448841,3975.3276451165184,14992.79930118057,100664.45751329335,WR_RN,9.9,QAETEL,YIEYES,,,9.9,0.7,98.16772700856384
178,JDKNS_ESR1,10948.900666666665,56771.60613333333,0.0,0.0001496832112747,469.1879721412244,12615.648628311903,11574.6907997984,7832.367533911199,100212.40188384593,JDKNS_RN,9.9,QBEEP1,Hunt Energy Network,9.9,Judkins BESS (DGR),9.9,1.0,61.89969047743044
179,CISC_ESR1,11723.65608333333,54552.933808333335,0.0,0.0001496832112747,447.4083923679911,12465.196843383508,12159.01951377746,7688.043271298259,99036.25806217709,CISC_RN,9.9,QBEEP1,Hunt Energy Network,9.9,Cisco BESS,9.9,1.09,47.00423202062855
180,MNWLE_ESR1,11342.44325,54811.78335833333,0.0,0.0001496832112747,446.44429697803713,12593.54203540677,11951.755242333427,7593.482030421755,98739.45036315653,MNWL_BESS_RN,9.9,QBEEP1,YHENI1,,,9.9,1.02,65.63833239480311
181,CATARINA_ESR1,7908.62575,58736.01080833333,0.0,0.0001496832112747,465.9167775335336,12894.396762778964,11528.872744450293,7124.812799458347,98658.63579223768,CATARINA_B1,9.9,QBEEP1,Hunt Energy Network,9.9,Catarina (DGR),9.9,1.0,57.65771777701594
182,MILTON_ESR1,56899.83683333333,-11630.531795724997,0.0,9342.070179221035,5307.8990245804125,20533.611699274315,5225.291259872528,11011.772635292247,96689.94983584886,MILTON_RN,9.9,QTEN30,YREGMI,,,9.9,1.23,61.69789291328428
183,MU_ESR1,19620.298666666666,36251.6370179,0.0,3169.03705568448,0.0,12979.478336788174,10372.95927479131,13132.721132498233,95526.13148432886,MU_RN,9.9,QTEN26,On.Energy,10.0,Mustang Bayou BESS,10.0,1.97,56.10085115939498
184,PIRATE_ESR1,31250.69333333333,9400.003959666668,0.0,18385.992537616654,6492.439255775018,14523.99972905582,4078.711506919615,11174.007204589856,95305.84752695696,PIRATE_RN,9.8,QTEN30,YREGSI,,,9.8,1.28,113.87754924151713
185,RTLSNAKE_ESR1,11045.520166666667,50684.9757,0.0,0.0001496832112747,449.8151705924349,12714.805715037306,11439.977955908886,7575.781757622406,93910.8766155109,RTLSNAKE_BT,9.9,QBEEP1,Hunt Energy Network,9.9,Rattlesnake (DGR),9.9,1.0,59.64032517511923
186,CEDRVALE_ESR1,11063.432916666668,50600.13285833333,0.0,0.0001496832112747,468.7665740961677,12572.183932733155,11331.267164955916,7538.352389337381,93574.13598580583,CEDRVALE_RN,9.9,QBEEP1,Hunt Energy Network,9.9,Cedarvale (DGR),9.9,1.0,61.18035640757781
187,GOMZ_ESR1,11101.555583333333,50249.73689166667,0.0,0.0001496832112747,468.7583146876933,12679.212631294811,11390.711283448707,7654.7882428495495,93544.76309696397,GOMZ_RN,9.9,QBEEP1,Hunt Energy Network,9.9,Gomez (DGR),9.9,1.0,62.86451343439556
188,MOORE_FL_ESR1,24252.9165,23945.872010041665,0.0,16226.065587607714,3101.1879073477257,5711.809343053126,19961.036641251594,0.0,93198.88798930183,MOORE_FL_RN,9.9,QTEN30,REX Storage Holdings,9.9,Moore Field BESS,9.9,1.0,84.13649622829958
189,LONESTAR_ESR1,11041.710416666663,49651.38884166667,0.0,0.0001496832112747,472.57311724690896,12733.27102851557,11467.773332153916,7654.641156616059,93021.35804254899,LONESTAR_RN,9.9,QBEEP1,Hunt Energy Network,9.9,Lonestar,9.9,1.0,61.21578437619532
190,FAULKNER_ESR1,11063.342916666665,49397.67553333333,0.0,0.0001496832112747,470.62769557061546,12892.721860215168,11452.549798678441,7623.567993844259,92900.48594799169,FAULKNER_RN,9.9,QBEEP1,Enel North America,15.9,Faulkner (DGR),15.9,1.22,32.184709268994766
191,SADLBACK_ESR1,11068.746416666663,49717.432774999994,0.0,0.0001496832112747,468.35460302466873,12444.936720307242,11491.58673578433,7655.50161943031,92846.55901989642,SADLBACK_RN,9.9,QBEEP1,Hunt Energy Network,9.9,Saddleback (DGR),9.9,1.0,60.037383802766456
192,CS_ESR1,24386.303166666665,33075.780867141664,0.0,2620.893615438346,0.0,8204.706845173969,10679.536852197496,13301.566621928441,92268.78796854657,CS_RN,9.9,QTEN26,On.Energy,9.9,Crosby BESS,9.9,2.02,40.804978723152566
193,CHERRYCR_ESR1,11118.781,48902.76301666667,0.0,0.0001496832112747,469.01602917275113,12328.74871753989,11373.205297277007,7623.111010947386,91815.62522128691,TOYAH_RN,9.9,QBEEP1,Hunt Energy Network,10.4,Toyah Power Station (DGR),10.4,0.95,63.73737751205762
194,DPCRK_ESR1,0.0,60506.96178916666,0.0,412.55479397130296,180.5171317493,0.0001800059320296,16005.126136815476,14415.771742758974,91520.93177446765,SNY_BESS_RN,9.9,QTEN26,Gore Street Energy Storage Fund,10.0,Snyder (DGR),10.0,2.0,49.688895147366566
195,SANDLAKE_ESR1,11062.59908333333,48219.722125,0.0,0.0001496832112747,467.4733139748204,12316.416645306923,11121.00607458833,7358.075670278284,90545.29306216488,SANDLAKE_RN,9.9,QBEEP1,Hunt Energy Network,9.9,Sandlake BESS,9.9,1.0,49.59978272538042
196,SGSA_ESR1,18922.606666666663,63203.98169583334,0.0,5.66715626201461e-06,2.752850466166859e-05,787.3160657852378,1151.3850821492545,4759.98355679082,88825.27310042096,SGSA_DGR,9.9,QAMA1,NW Group,9.9,Saragosa (DGR),9.9,2.02,41.07464641405861
197,CARRIZO_ESR1,49967.88541666667,25039.225926224997,0.0,6182.891612450752,4779.437180477471,0.0,1704.8855876642149,506.5630425172995,88180.8887660014,CARRIZO_ESR1,9.8,QTEN30,YREGCS,,,9.8,1.08,129.91583615449997
198,COYOTSPR_ESR1,11063.342916666665,48657.67937499999,0.0,0.0001496832112747,465.2317843550089,8199.548692574781,11258.997445162184,8357.380318371468,88002.18068181332,COYOTSPR_RN,9.9,QBEEP1,YBEEPR,,,9.9,0.9,60.44201245382658
199,SBEAN_ESR1,11044.80716666667,44171.48096666666,0.0,0.0001496832112747,468.336312996222,12402.885136229597,11449.190763366068,7599.392249495781,87136.09274510421,SBEAN_BESS,9.9,QBEEP1,Hunt Energy Network,9.9,Screwbean (DGR),9.9,1.0,58.5865454347328
200,FRMRSVLW_ESR1,9339.71075,43320.61615833332,0.0,0.0001496832112747,450.16508900210647,12940.499968016185,12035.995326441263,7667.467325086699,85754.4547665628,FRMRSVLW_RN,9.9,QBEEP1,Adapture Renewables,9.9,Farmersville BESS (DGR),9.9,1.1,49.2284828876025
201,W_HARLIN_ESR1,21311.85083333333,29874.665025375,0.0,1353.9388155811157,81.36448364070301,17716.41977035975,7359.372160205354,7151.967729180848,84849.5788176761,W_HRL_ESR_RN,9.9,QTEN24,YSMTTX,,,9.9,1.15,61.71665975617831
202,ZAPATA_ESR1,26177.484999999997,-5033.939441608332,0.0,16154.780646200956,3085.1067101630097,28253.7552674553,13746.099703999478,0.0,82383.2878862104,BRP_ZPT1_RN,9.9,QSUE74,YBRPIN,,,9.9,0.93,97.09464560367121
