rank,resource_name,da_energy_rev,rt_energy_rev,deviation_penalty,regup_rev,regdn_rev,rrs_rev,ecrs_rev,nonspin_rev,total_rev,settlement_point,hsl,qse,company,capacity_mw,site,eff_capacity_mw,duration_hours,theoretical_rev_total,optimization_rate
277,OR_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OR_BESS_RN,9.9,QCWPE3,YIEPTE,,,9.9,1.42,73945.5099934412,0.0
278,MESQUITE_ESR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MESQUITE_RN2,0.0,QSYSO,YMSCEC,,,0.0,1.42,0.0,
279,COTULLA_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.74,0.0,
280,CNTYRDS_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CNTYRDS_RN,0.0,QTEN26,YCORDI,,,0.0,1.42,0.0,
281,SE_EDINB_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.42,0.0,
282,BUDA_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUDA_RN,0.0,QTEN26,YBUDAI,,,0.0,1.42,0.0,
283,CHISMGRD_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CHISMGRD_RN,0.0,QTEN25,YCHISH,,,0.0,1.42,0.0,
284,NEDIN_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEDIN_RN,0.0,QTEN26,YINFGC,,,0.0,1.42,0.0,
285,PALMVIEW_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.42,0.0,
286,PAD3_ESS_ESR3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RN_PAD3_ESS,0.0,QTEN25,Eolian,51.4,Padua BESS 1,51.4,2.37,786812.9604615385,0.0
287,BIRD_BES_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.42,0.0,
288,TORR_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TORR_ALL,0.0,QFPL33,YNEXTE,,,0.0,1.42,0.0,
289,PAD2_ESS_ESR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.42,0.0,
290,AMAD_ESS_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMAD_ESS_RN,0.0,QGRIE4,YBTAMS,,,0.0,1.42,650803.95839642,0.0
291,KEG_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KEG_RN,0.0,QEDF27,YSMTX3,,,0.0,1.42,327.56402422593334,0.0
292,HEN_ESR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HEN_RN,0.0,QECNR,YEONCR,,,0.0,1.42,0.0,
293,HNY_COMB_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HNY_COMB_RN,61.5,QHEI6,YHONHO,,,61.5,1.42,151054.1481104848,0.0
294,HDNLAKES_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HDNLAKES_RN,0.0,QTEN26,YSBES6,,,0.0,1.42,0.0,
295,GRIZZLY_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POTSVIL_RN,9.9,QPRIO1,YGRIZZ,,,9.9,1.42,112283.40976356373,0.0
296,HARLIN_1_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HARLIN_1_RN,0.0,QTEN26,SMT Energy,10.0,Harlingen II,10.0,1.0,69669.78506660007,0.0
297,LK_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LK_RN,0.0,QPROLO,YESTH5,,,0.0,1.42,0.0,
298,KNAPP_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KNAPP_RN,0.0,QTEN26,YKNAPP,,,0.0,1.42,0.0,
299,DRAK_ESS_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DRAK_ESS_RN,150.0,QNRGTX,YMALES,,,150.0,1.42,163269.33123025726,0.0
300,HRMS_SLR_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.42,0.0,
301,HWY6_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HWY6_RN,0.0,QTEN26,YHWY6,,,0.0,1.42,0.0,
302,ESCONDID_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESCONDID_ESR,0.0,QTEN30,YREGES,,,0.0,1.42,0.0,
303,FERD_ESS_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.42,0.0,
304,DA_ESR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.42,0.0,
305,DRAK_ESS_ESR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DRAK_ESS_RN,100.0,QNRGTX,YMALES,,,100.0,1.42,108846.2208201715,0.0
306,SOLC_SLR_ESR1,0.0,-5.577573091666666,0.0,0.0,0.0,0.0,0.0,0.0,-5.577573091666666,RN_SOLC_SLR,160.0,QTEN33,YIPQB,,,160.0,1.42,32555.80903380018,-0.0
307,SOLC_SLR_ESR2,0.0,-12.12633980833333,0.0,0.0,0.0,0.0,0.0,0.0,-12.12633980833333,RN_SOLC_SLR,160.0,QTEN33,YIPQB,,,160.0,1.42,32555.80903380018,-0.0
308,Z0_ESR1,-98.24000000000001,68.79471928333345,0.0,0.0,0.0,0.0,0.0,0.0,-29.44528071666656,Z0_DGR2_RN,9.9,QTEN26,YBEXCO,,,9.9,2.03,97743.2738093186,-0.0
309,PIN_BESS_ESR1,0.0,-36.899987616666664,0.0,0.0,0.0,0.0,0.0,0.0,-36.899987616666664,PIN_BESS_RN,200.0,QTEN34,YPINTP,,,200.0,1.42,49383.14934126583,-0.1
310,LYNX_ESS_ESR1,0.0,-474.09455864999995,0.0,0.0,0.0,0.0,0.0,0.0,-474.09455864999995,LYNX_ESS_RN,0.0,QSU101,YCORBS,,,0.0,1.42,0.0,-inf
311,MDWPK_ESR1,0.0,-521.6540011416666,0.0,0.0,0.0,0.0,0.0,0.0,-521.6540011416666,MDWPK_RN,9.9,QTEN26,YMEADP,,,9.9,0.48,36768.92596336258,-1.4
312,HEN_ESR1,0.0,-1026.3649080916657,0.0,0.0,0.0,0.0,0.0,0.0,-1026.3649080916657,HEN_RN,150.0,QECNR,YCROWN,,,150.0,1.75,405128.31236021535,-0.3
313,CONTINEN_ESR1,576.4680000000001,-1182.60375,0.0,-482.45482051282045,168.05666666666667,-188.6249166666667,-391.9384166666666,0.0,-1501.0972371794874,CONTINEN_RN,9.9,QTEN30,REX Storage Holdings,9.9,Continental BESS (DGR),9.9,1.0,59063.937757659995,-2.5
314,VERT_ESS_ESR1,0.0,-1683.8935250000006,0.0,0.0,0.0,0.0,0.0,0.0,-1683.8935250000006,VERT_ESS_RN,200.0,QNRGTX,YNRGTX,,,200.0,1.42,1588613.7857098563,-0.1
315,ABINDUST_ESR1,0.0,-1807.6130543749998,0.0,0.0,0.0,0.0,0.0,0.0,-1807.6130543749998,ABINDUST_RN,9.9,QMP2M1,YDIST,,,9.9,0.48,48159.05803079347,-3.8
316,ARY_BESS_ESR1,0.0,-2784.041725,0.0,0.0,0.0,0.0,0.0,0.0,-2784.041725,ARY_BESS_RN,0.0,QTEN32,YBTCS,,,0.0,1.42,0.0,-inf
317,DESN_ESS_ESR1,0.0,-3600.465736891667,0.0,0.0,0.0,0.0,0.0,0.0,-3600.465736891667,DESN_ESS_RN,200.0,QSUE79,YSUEZ,,,200.0,0.45,231840.18099031385,-1.6
318,DA_ESR3,0.0,-3989.4266466666663,0.0,0.0,0.0,0.0,0.0,0.0,-3989.4266466666663,DA_BESS2,9.9,QSHE16,Vopak Energy Storage Texas,5.0,Damon Storage,5.0,1.94,40691.12864968365,-9.8
319,GAIA_SLR_ESR1,0.0,-4102.293732675,0.0,0.0,0.0,0.0,0.0,0.0,-4102.293732675,GAIA_SLR_RN,76.3,QTEN26,YGAIA,,,76.3,1.42,161617.96462205052,-2.5
320,SLK_BESS_ESR1,0.0,-5982.597862916666,0.0,0.0,0.0,0.0,0.0,0.0,-5982.597862916666,SLK_BESS_RN,200.0,QTEN34,YMENTB,,,200.0,1.42,1311277.4075112503,-0.5
321,SAH_ESR1,0.0,-10806.660886191667,0.0,0.0,0.0,0.0,0.0,0.0,-10806.660886191667,SAH_RN,200.0,QGFEN,YESTH2,,,200.0,2.07,991636.8294600897,-1.1
322,RHA_ESR1,0.0,-15273.666291558333,0.0,0.0,0.0,0.0,0.0,0.0,-15273.666291558333,RN_RHN_ESR,200.0,QTEN19,YDESTS,,,200.0,1.87,545978.0720869518,-2.8
323,BCK_ESR2,0.0,-18719.600128558333,0.0,0.0,0.0,0.0,0.0,0.0,-18719.600128558333,BCK_RN,126.5,QHEI5,YOL300,,,126.5,2.17,981218.6216497407,-1.9
324,BCK_ESR1,0.0,-18964.500284233334,0.0,0.0,0.0,0.0,0.0,0.0,-18964.500284233334,BCK_RN,123.5,QHEI5,YOL300,,,123.5,2.38,950444.5855042527,-2.0
325,SAH_ESR2,0.0,-28382.159329416663,0.0,0.0,0.0,0.0,0.0,0.0,-28382.159329416663,SAH_RN,200.0,QGFEN,YESTH2,,,200.0,2.18,1051161.7201485028,-2.7
326,CFLAT_ES_ESR1,0.0,-78723.42695765,0.0,0.0,0.0,0.0,0.0,0.0,-78723.42695765,CFLAT_ES_RN,100.0,QTEN26,YCITFE,,,100.0,2.19,1350800.9792568698,-5.8
