Site,Pnode Name,Owner,Capacity (MW),Energy capacity (MWh),,,,,,,,,,,,,
Westover (DGR),WOV_BESS_RN,Gore Street Energy Storage Fund,9.9,20.0,,,,,,,,,,,,,
Wigeon Whistle BESS,WIG_BESS_RN,UBS Asset Management,122.9,174.0,,,,,,,,,,,,,
Wolf Tank,WFTANK_ESS1,Aypa Power,155.0,173.0,,,,,,,,,,,,,
Worsham (DGR),WRSBES_BESS1,Key Capture Energy,9.9,17.9,,,,,,,,,,,,,
Zapata 1 (DGR),BRP_ZPT2_RN,ENGIE,9.9,10.0,,,,,,,,,,,,,
Zapata 2 (DGR),BRP_ZPT2_RN,ENGIE,9.9,10.0,,,,,,,,,,,,,
Zier Storage U1,ZIER_SLR_ALL,Cypress Creek Renewables,40.1,78.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
