DATETIME,ERCOT (LOAD_FORECAST),ERCOT (NET_LOAD_FORECAST_BID_CLOSE),ERCOT (WIND_STWPF_BIDCLOSE),ERCOT (WIND_COPHSL_BIDCLOSE),ERCOT (SOLAR_COPHSL_BIDCLOSE),ERCOT (RTLOAD),ERCOT (WIND_RTI),ERCOT (SOLAR_GENERATION),HOURENDING,MARKETDAY,PEAKTYPE,MONTH,YEAR 
02/11/2026 21:00:00,51596.639771,41114.4629,8940.8,8587.9,0,51562.39,5511.66,,21,02/11/2026,WDPEAK,FEBRUARY,2026
02/11/2026 22:00:00,50359.060059,38756.9741,10044.1,9605,0,50264.94,5927.37,,22,02/11/2026,WDPEAK,FEBRUARY,2026
02/11/2026 23:00:00,48191.000549,35751.6679,10984,10497.3,0,48019.54,6674.93,,23,02/11/2026,OFFPEAK,FEBRUARY,2026
02/12/2026 00:00:00,45768.079834,32777.313,11768.1,11279.9,0,45712.29,8111.27,,24,02/11/2026,OFFPEAK,FEBRUARY,2026
02/12/2026 01:00:00,44112.442383,32780.4706,10691.3,10048.2,0,43845.2,9157.69,,1,02/12/2026,OFFPEAK,FEBRUARY,2026
02/12/2026 02:00:00,42857.057739,31252.7797,11033.8,10401.6,0,42889.29,10068.96,,2,02/12/2026,OFFPEAK,FEBRUARY,2026
02/12/2026 03:00:00,42479.040527,30274.2111,11388.6,10756.5,0,42355.85,11749.33,,3,02/12/2026,OFFPEAK,FEBRUARY,2026
02/12/2026 04:00:00,42390.280334,29916.6499,11664.3,11019.8,0,42334.34,12348.91,,4,02/12/2026,OFFPEAK,FEBRUARY,2026
02/12/2026 05:00:00,43178.423828,30697.8671,11975.2,11316.6,0,43271.73,11981.26,,5,02/12/2026,OFFPEAK,FEBRUARY,2026
02/12/2026 06:00:00,45606.972595,33440.609,12345.6,11688.5,0,45486.22,11770.74,,6,02/12/2026,OFFPEAK,FEBRUARY,2026
02/12/2026 07:00:00,49073.220581,37145.5501,12543.4,11906.4,0,48684.19,12418.27,,7,02/12/2026,WDPEAK,FEBRUARY,2026
02/12/2026 08:00:00,49963.409546,37995.4402,12375.7,11804.7,978,50191.4,13042.88,,8,02/12/2026,WDPEAK,FEBRUARY,2026
02/12/2026 09:00:00,49344.219482,29135.0405,11618.5,11109,10054.3,50083.76,11344.76,,9,02/12/2026,WDPEAK,FEBRUARY,2026
02/12/2026 10:00:00,49071.949341,20534.1505,9520.3,9067,20301.1,49607.38,6653.17,,10,02/12/2026,WDPEAK,FEBRUARY,2026
02/12/2026 11:00:00,49051.60022,18312.9904,8004.4,7582.2,23538.3,49182.55,5937.44,,11,02/12/2026,WDPEAK,FEBRUARY,2026
02/12/2026 12:00:00,48838.949341,16574.56,8338.3,7919.4,24640.8,49085.71,6203.19,,12,02/12/2026,WDPEAK,FEBRUARY,2026
02/12/2026 13:00:00,49413.44043,16005.8597,8363.4,8013.7,24989.9,49422,6053.26,,13,02/12/2026,WDPEAK,FEBRUARY,2026
02/12/2026 14:00:00,50218.150269,16747.1395,8216.6,7945,24867.6,50267.37,5298.24,,14,02/12/2026,WDPEAK,FEBRUARY,2026
02/12/2026 15:00:00,51070.830322,17206.9395,8157.6,7947.7,24779.1,51056.47,5194.96,,15,02/12/2026,WDPEAK,FEBRUARY,2026
02/12/2026 16:00:00,51639.9198,18277.3697,8394.3,8199.6,24004.7,51648.93,5882.81,,16,02/12/2026,WDPEAK,FEBRUARY,2026
02/12/2026 17:00:00,52074.410156,23235.3392,8999.5,8795,19168.7,52334.76,6966.62,,17,02/12/2026,WDPEAK,FEBRUARY,2026
02/12/2026 18:00:00,52474.830505,36446.0902,9465.4,9181.8,6257.4,52441.07,7906.85,,18,02/12/2026,WDPEAK,FEBRUARY,2026
02/12/2026 19:00:00,52917.179626,40978.5791,11741.2,11351.3,141.6,52616.73,9124.78,,19,02/12/2026,WDPEAK,FEBRUARY,2026
02/12/2026 20:00:00,52209.659485,38054.0095,14819.2,14334.2,0,52444.25,12137.09,,20,02/12/2026,WDPEAK,FEBRUARY,2026
02/12/2026 21:00:00,51748.049255,34277.3299,17903.5,17310.3,0,51632.11,15412.02,,21,02/12/2026,WDPEAK,FEBRUARY,2026
02/12/2026 22:00:00,50515.129639,31401.5804,19254.4,18635,0,50255.14,17546.69,,22,02/12/2026,WDPEAK,FEBRUARY,2026
02/12/2026 23:00:00,48071.949463,28038.0202,20328,19688.1,0,48101.63,19465,,23,02/12/2026,OFFPEAK,FEBRUARY,2026
02/13/2026 00:00:00,45852.709717,25192.1606,20710.7,20078.4,0,45752.34,20736.63,,24,02/12/2026,OFFPEAK,FEBRUARY,2026
