node,net_revenue,offer_revenue,bid_revenue,days_active,total_offer_mw,total_bid_mw,hsl,rank
PLATINUM_RN,1389.7469999999998,834.2559999999999,555.4909999999999,133.0,471.3,-949.2,151.7,96
PINEFRST_RN,1345.4720499999992,1988.8417999999988,-643.3697500000003,169.0,2481.5,-3189.1000000000004,200.0,97
BRP_DIKN_RN,1332.8550899999973,981.6962499999977,351.15883999999994,182.0,7028.1,-1497.3,9.9,98
N_AL_BESS_RN,1302.9379499999995,-1691.19725,2994.1351999999997,178.0,990.7,-1436.5,9.9,99
HEADCAMP_RN,1297.0240000000001,350.4149999999999,946.609,103.0,326.9,-791.3000000000001,150.0,100
RN_RHN_ESR,1060.2645000000002,-226.62924999999998,1286.8937500000002,105.0,174.9,-483.0,200.0,101
NCO_RN,971.1880000000002,1117.6147500000002,-146.42675000000008,152.0,1246.9,-350.1,38.8,102
W_HRL_ESR_RN,935.9406800000006,-3594.87777,4530.818449999999,179.0,1298.3000000000002,-2921.6,9.9,103
AVIL_ESS_RN,818.0622500000001,-719.5767500000001,1537.639,163.0,238.10000000000002,-701.5,160.0,104
TDWLPR_1_RN,797.8889999999999,-389.91699999999975,1187.8059999999998,104.0,1895.7,-1054.3,100.0,105
RN_BY_ESR1,762.5664999999999,-1197.9922499999998,1960.5587499999997,124.0,1038.7,-3377.3999999999996,9.9,106
ALP_BESS_RN,749.3907499999996,1636.8905,-887.49975,183.0,1646.4,-7667.3,100.3,107
TORT_ESS_RN,707.3337499999997,-526.95525,1234.289,151.0,590.2,-547.5,50.0,108
CARTWHL_RN,692.4132500000001,-701.1592500000003,1393.5725000000002,97.0,290.9,-2146.5,150.0,109
PAD1_ESS_RN,604.7752500000001,574.10325,30.672000000000022,107.0,215.9,-72.1,50.0,110
FRMR_BS2_RN1,601.7472499999998,-134.93225,736.6795,158.0,146.9,-301.3,9.9,111
CACH_ESS_RN,531.0464999999999,1068.18725,-537.14075,166.0,3150.7,-156.1,200.0,112
LANTANA_RN,470.75075000000004,-309.60525000000007,780.3560000000001,146.0,206.60000000000002,-851.8000000000001,9.9,113
LK_RN,445.24375,-1189.2920000000001,1634.5357500000002,37.0,305.79999999999995,-357.9,0.0,114
BLACKSPR_RN,407.9949999999998,-2623.082,3031.077,147.0,2070.3,-3517.2,120.0,115
GODY_SLR_RN,361.6735,318.18850000000003,43.485,87.0,127.2,-35.0,50.0,116
HRMS_SLR_RN,350.07750000000004,200.0375,150.04000000000005,12.0,2.0,-148.0,20.0,117
COYOTSPR_RN,231.6887499999999,1879.7377500000002,-1648.049,171.0,1235.2,-910.2,9.9,118
FERD_ESS_RN,203.31249999999994,1028.985,-825.6725000000001,14.0,116.0,-214.0,200.0,119
Z0_DGR2_RN,177.9625,167.3075,10.655,87.0,77.5,-4.0,9.9,120
GAIA_SLR_RN,105.7169999999999,716.6094999999999,-610.8925,107.0,339.6,-484.0,76.3,121
LOWR_ESS_RN,99.84224999999992,-2307.99275,2407.835,168.0,878.2,-4256.8,60.0,122
