node,net_revenue,offer_revenue,bid_revenue,days_active,hsl,avg_win_rate,avg_profit_loss_ratio,total_offer_mw,total_bid_mw,rank
FENCESLR_ALL,11015.17618,12390.384999999998,-1375.20882,199,71.0,41.09195979899498,13.729145728643216,6498.6,-6807.599999999999,45
CAST_ESS_RN,8950.266749999999,381.594,8568.672749999998,107,200.0,20.685046728971965,16.800654205607476,102.6,-760.4,46
BOCO_ESS_RN,8762.100410000001,7280.17741,1481.923,200,150.0,41.846000000000004,11.861099999999999,4012.8,-3834.6,47
LON_RN1,7720.780500000001,7193.297,527.4834999999996,200,174.0,36.783,12.818399999999999,5847.4,-2115.9,48
LYSSY_RN,7549.47225,9301.0915,-1751.6192500000004,198,9.9,40.105555555555554,21.41530303030303,21572.2,-2776.4,49
JC_BAT_RN,7349.86109,6748.18859,601.6724999999999,193,1.7,39.64766839378238,18.1100518134715,3744.1,-349.9,50
PIRATE_RN,7070.60316,8234.246659999999,-1163.6434999999997,198,7.0,38.1030303030303,25.330959595959595,23442.100000000002,-2638.5,51
BUDA_RN,6955.342750000001,-2095.4255000000003,9050.768250000001,164,0.0,37.333536585365856,9.35841463414634,5587.2,-2818.3,52
TORR_ALL,6362.323750000003,10660.277250000014,-4297.953499999998,200,0.0,37.7225,5.70235,87264.6,-15333.8,53
CROSSTRL_RN,5922.396200000001,-619.05355,6541.44975,199,57.0,41.84522613065327,23.301155778894472,2714.0,-6256.4,54
EMPCT_RN,4243.649,601.2485000000001,3642.4004999999997,190,9.9,35.14368421052632,16.849263157894736,786.3,-2907.0,55
LUCKYBLU_RN,4241.59275,2121.897,2119.6957500000003,182,100.0,39.88461538461539,18.47131868131868,3691.3999999999996,-7516.2,56
ODESW_RN,4127.59396,-13938.44029,18066.03425,197,9.9,40.20253807106599,11.886649746192894,3762.8,-29015.2,57
MEDILA_RN,3959.954070000009,2135.0473199999947,1824.9067500000003,198,9.9,43.057575757575755,9.48070707070707,18823.9,-1643.9,58
ESCONDID_ESR,3946.7302499999996,-958.9312500000001,4905.6615,197,0.0,38.22791878172588,38.04482233502538,490.4,-3795.5,59
SWOOSE1_U1,3563.52024,10325.583139999999,-6762.0629,200,9.9,41.3445,16.0896,1978.9,-3286.4,60
BKSL_RN,3534.9652499999997,7564.37275,-4029.4075,199,100.0,39.246231155778894,14.887035175879397,3048.1,-5896.9,61
BRP_BRAZ_RN,3347.5578999999993,3129.62965,217.92824999999988,120,9.9,48.1375,34.455,485.6,-743.3000000000001,62
TORT_ESS_RN,3283.2012499999996,2074.61725,1208.5839999999998,166,48.0,32.19759036144578,27.560180722891566,788.2,-556.5,63
LONESTAR_RN,3148.632800000001,-0.8184499999999559,3149.451250000001,185,9.9,32.37783783783784,23.77643243243243,143.2,-2998.7,64
JDKNS_RN,3099.0244199999993,4456.12775,-1357.1033299999997,200,9.9,40.0985,24.411649999999998,2358.9,-22455.3,65
BRP_SWNY_RN,3048.8369200000006,3157.7416700000003,-108.90474999999996,85,9.9,41.32705882352941,27.117176470588237,217.9,-168.1,66
DIBOL_RN,3031.2795,195.87174999999974,2835.40775,171,3.3,27.8093567251462,16.06502923976608,478.8,-1121.0,67
SGSA_DGR,2789.42975,-150.888,2940.31775,164,9.9,30.67439024390244,25.792134146341464,61.3,-2245.1,68
ARY_BESS_RN,2702.1442500000003,-220.7199999999999,2922.86425,124,0.0,18.756451612903227,3.425,199.5,-3774.5,69
RVRVLYS_ALL,2552.2189099999964,3598.7174099999993,-1046.4985,196,50.0,39.795918367346935,18.366122448979592,7229.4,-1344.1,70
AMAD_ESS_RN,2344.123,2730.8682499999995,-386.7452499999998,125,100.0,27.5168,14.962399999999999,852.3,-1265.7,71
CARTWHL_RN,2203.60075,-755.8142500000002,2959.415,113,150.0,20.04159292035398,14.332389380530973,294.9,-2335.5,72
TANZ_ESS_RN,2128.3922600000005,715.3567500000001,1413.03551,186,128.8,31.523118279569893,15.960483870967742,797.3,-2567.2,73
POTEETS_RN,1850.85875,1967.904,-117.04524999999977,197,9.9,40.810659898477155,17.52005076142132,3911.7,-2849.5,74
SLCN_ESS_ALL,1674.6355000000015,-718.0332499999995,2392.6687500000007,199,50.0,39.209547738693466,15.719547738693468,2316.0,-4062.9,75
MNWL_BESS_RN,1553.4065000000014,-2857.369749999999,4410.77625,194,9.9,34.18556701030928,36.56783505154639,1974.5,-872.9,76
TYNAN_RN,1475.3637500000004,1221.6437500000002,253.7200000000002,183,9.9,31.4,11.611475409836066,2004.2,-1293.7,77
MV_VALV4_RN,1389.7183000000005,-372.5544999999998,1762.2728000000004,197,9.9,38.51015228426396,20.855025380710657,3101.7,-3937.6,78
NOBLESLR_ALL,1292.3708400000014,16800.08619,-15507.715349999999,200,62.5,39.5045,7.4034,257915.4,-14044.2,79
OLMITO_RN,1203.6731099999997,268.84466,934.8284500000005,191,9.9,33.48324607329843,14.537696335078532,1180.2,-7277.599999999999,80
N_AL_BESS_RN,1173.60879,-1800.11991,2973.7287,194,9.9,36.05876288659794,20.476082474226803,1051.0,-1673.2,81
HEADCAMP_RN,1162.6827499999995,448.9187499999998,713.764,119,150.0,24.75042016806723,12.701092436974788,592.9,-998.3,82
W_HRL_ESR_RN,842.0544299999992,-3634.49727,4476.551699999999,195,9.9,34.80974358974359,11.885333333333334,1320.5,-2944.3,83
NCO_RN,686.9177500000002,904.8807500000001,-217.96300000000008,168,38.8,27.81547619047619,17.806785714285713,1276.6,-376.9,84
SWT_BESS_RN,615.5796300000002,2942.737140000001,-2327.157510000001,199,9.9,40.22964824120603,10.85824120603015,10728.0,-6654.4,85
PAD1_ESS_RN,605.932,613.2465,-7.314499999999988,123,50.0,19.91788617886179,8.490975609756097,231.5,-168.8,86
FRMR_BS2_RN1,603.72975,-68.76974999999993,672.4994999999999,174,9.9,32.981034482758616,23.005862068965516,159.9,-316.3,87
AVIL_ESS_RN,554.47241,-841.48659,1395.959,179,160.0,34.23463687150838,17.84581005586592,287.4,-774.7,88
APPLE_ESR_RN,534.8172500000002,255.31025,279.5070000000002,105,0.0,12.225714285714286,10.268476190476191,39.2,-295.8,89
COYOTSPR_RN,499.4142500000001,1866.7102499999999,-1367.296,187,9.9,30.35508021390374,22.294545454545453,1238.2,-981.4000000000001,90
POTSVIL_RN,482.68878000000313,-2270.8964999999953,2753.585279999999,199,9.9,39.951758793969844,15.431256281407036,19321.3,-29035.9,91
TDWLPR_1_RN,447.28283999999985,-666.3704099999998,1113.6532499999996,120,100.0,39.667500000000004,20.359916666666667,1962.2,-1142.9,92
HRMS_SLR_RN,349.57750000000004,197.4625,152.11500000000007,27,20.0,31.711111111111112,18.876296296296296,5.0,-164.0,93
ELMCRK_RN,319.15223999999967,670.6625899999998,-351.51035,124,9.9,26.75241935483871,9.004435483870967,1802.5,-5140.099999999999,94
CACH_ESS_RN,305.6316599999999,933.1846599999999,-627.553,182,200.0,31.03241758241758,15.381373626373625,3220.1,-193.1,95
BRP_DIKN_RN,205.30249999999782,665.962159999998,-460.6596600000001,197,9.9,38.368020304568525,13.78243654822335,7100.7,-1562.5,96
Z0_DGR2_RN,156.19,162.88,-6.689999999999994,103,9.9,14.077669902912621,12.493398058252426,78.5,-17.0,97
HDNLAKES_RN,53.66525000000003,-105.32349999999997,158.98875,36,0.0,59.099999999999994,40.400277777777774,108.3,-62.9,98
APPLE_RN,28.109999999999985,0.0,28.109999999999985,15,0.0,42.22,33.54066666666667,0.0,-60.0,99
HNY_COMB_RN,0.0,0.0,0.0,92,61.5,0.0,0.0,0.0,0.0,100
RN_PAD3_ESS,0.0,0.0,0.0,116,0.0,0.0,0.0,0.0,0.0,101
PAD2_ESS_RN,0.0,0.0,0.0,33,150.0,0.0,0.0,0.0,0.0,102
LEAKEY_RN,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,103
MEDINA1_RN,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,104
BCNV2_ES_RN,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,0.0,105
BIRD_ESR1,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,106
DRAK_ESS_RN,0.0,0.0,0.0,33,150.0,0.0,0.0,0.0,0.0,107
CNTRY_RN,-9.845499999999959,-4155.8192500000005,4145.97375,187,9.8,37.7144385026738,11.63572192513369,1643.5,-2729.6,108
FALFUR_RN2,-18.156749999999953,263.8160000000001,-281.97275,103,9.8,11.002912621359222,9.558252427184467,770.5,-59.8,109
SAH_RN,-20.273500000000013,100.21149999999997,-120.48499999999999,43,200.0,24.611627906976743,16.54186046511628,20.3,-34.0,110
CEDRVALE_RN,-20.31225000000012,471.58599999999996,-491.89825000000013,191,8.2,37.77277486910995,22.156282722513087,248.6,-1285.7,111
