rank,node,net_revenue,offer_revenue,bid_revenue,total_offer_mw,total_bid_mw,win_rate,avg_win_rate,profit_loss_ratio,avg_profit_loss_ratio,participation_rate,avg_dart_spread,hsl,days_active
152,OR_BESS_RN,-1473.22659,98.61340999999997,-1571.8400000000006,537.0,-699.5,35.563445378151265,40.82557471264368,11.326512605042016,7.734425287356322,2.8693277310924366,0.4948328081232492,9.9,180.0
153,BYRDR_ES_ALL,-1489.8929999999996,-1465.888,-24.00500000000001,876.5,-105.2,34.94495798319328,25.06632183908046,31.581806722689073,16.746781609195402,1.534873949579832,-0.07603378851540613,50.0,151.0
154,LYNX_ESS_RN,-1642.4072499999997,-1909.46175,267.05450000000013,573.6,-259.0,17.226890756302524,29.46964285714285,17.22516806722689,18.55377976190476,0.08319327731092437,0.006235556722689065,0.0,62.0
155,PEARSALL_RN,-1670.7347000000002,-1978.44245,307.7077500000001,2094.0,-843.7,35.29033613445378,40.08765432098765,8.584495798319326,33.330925925925925,10.408823529411766,0.049893644957983235,9.0,168.0
156,FAULKNER_RN,-1715.3028700000002,-527.348,-1187.95487,80.1,-1310.7,18.69747899159664,46.347983014862,17.25987394957983,43.71936305732484,2.7911764705882356,-0.039451593137254985,9.9,163.0
157,NEDIN_RN,-1729.7635,-1342.52125,-387.2422500000001,555.0,-2005.1,19.188655462184876,17.716791979949875,17.339873949579832,4.957631578947368,0.0,-0.0501527485994398,0.0,139.0
158,ODESW_RN,-1762.1055400000014,-14098.81429,12336.708750000003,3897.0,-34226.2,27.96428571428571,45.376269035533,11.554789915966387,11.695824873096448,80.08571428571429,-0.7408937324929971,9.9,203.0
159,TURQ_BESS1,-1785.8094,-1624.0658999999996,-161.74349999999998,1216.3000000000002,-378.1,34.44327731092437,48.335045662100455,4.796848739495799,25.124326484018265,0.5504201680672269,0.18211309523809513,188.0,152.0
160,GOMZ_RN,-1936.64136,-898.19936,-1038.4420000000005,461.2,-1512.8999999999999,31.508403361344534,40.85377192982456,4.290336134453781,8.508798245614035,4.192857142857143,-0.36814338235294125,9.9,196.0
161,RIOG_ESR2_RN,-2213.89243,1786.1043200000004,-3999.99675,1112.8,-4747.0,37.5609243697479,34.9554367201426,22.323991596638653,13.508582887700534,7.352100840336134,0.05312543767506997,7.0,193.0
162,WR_RN,-2356.35159,-939.8733400000001,-1416.4782500000001,596.2,-240.39999999999998,34.17983193277311,46.72949275362319,1.1663025210084035,12.119652173913044,2.327310924369748,-0.13563769257703073,9.8,121.0
163,ENDPARK_ESS1,-2436.600749999999,-661.4722499999998,-1775.1285,3993.1000000000004,-2924.1000000000004,30.197058823529414,39.01147403685092,3.841050420168067,8.07863065326633,4.4525210084033615,1.4236607142857143,50.0,205.0
164,CARA_ESS_RN,-2453.0175,-8.876000000000012,-2444.1414999999997,104.9,-234.3,13.799159663865545,25.58348909657321,7.280840336134453,24.644252336448595,0.3386554621848739,-0.006132265406162434,98.3,113.0
165,TORR_ALL,-2493.6799999999985,1442.5840000000135,-3936.2639999999974,103847.90000000001,-18795.8,30.372268907563022,40.60291666666666,0.9445798319327732,3.272841666666667,0.0,-0.7700717787114846,0.0,206.0
166,SBEAN_BESS,-2526.1778300000005,-747.40408,-1778.7737500000003,163.2,-851.1,33.14663865546218,21.4966856060606,20.336050420168068,10.18162878787879,1.3991596638655461,-0.8321769957983192,6.6,182.0
167,CHISMGRD_RN,-2669.1115000000004,-67.21275,-2601.8987500000003,48.3,-905.2,,64.14285714285714,,30.290571428571425,,,0.0,35.0
168,PAVLOV_BT_RN,-2842.860740000001,-1629.77984,-1213.0809,2494.0,-6240.5,30.965546218487393,46.57684254606365,4.408613445378151,10.526381909547736,15.961344537815126,-0.9090891981792715,9.9,205.0
169,VERT_ESS_RN,-3008.6465000000003,-3893.1075,884.4610000000001,115.9,-91.3,23.109243697478995,39.846875,23.106932773109243,36.69499999999999,0.031512605042016806,0.14881783963585432,200.0,54.0
170,CITRUSCY_RN,-3109.98393,-1506.9554300000004,-1603.0285,1047.6,-745.7,25.462184873949578,38.10681818181818,0.6953781512605042,4.535717468805704,5.275630252100841,-1.2823647584033613,9.9,193.0
171,BRPANGLE_RN,-3159.55966,-232.84565999999992,-2926.7140000000004,2830.6,-1667.6999999999998,37.15378151260504,41.76777777777778,46.20747899159664,9.081555555555555,1.9567226890756302,0.21170955882352938,9.9,186.0
172,MESQUITE_RN,-3162.84825,-2323.7655,-839.0827499999996,3908.8,-6885.1,32.35420168067227,26.101720430107527,1.6739915966386554,7.3028655913978495,12.431932773109242,-0.038853728991596614,0.0,161.0
173,PLATINUM_RN,-3214.536750000001,-23.909000000000106,-3190.6277500000006,881.3,-1251.4,42.49327731092438,45.40816554809843,15.425420168067225,11.766493288590604,0.4567226890756303,1.22952468487395,151.7,155.0
174,PIN_BESS_RN,-3336.7025500000004,-992.246,-2344.45655,2133.8,-11671.3,32.21932773109244,33.42625899280576,10.66189075630252,12.936336930455637,0.21428571428571427,-0.1751264880952381,0.0,145.0
175,CARN_ESS_RN,-3371.41666,3297.75534,-6669.172,3839.1000000000004,-7291.5,31.35924369747899,42.52876480541455,1.1022689075630252,8.050317258883247,1.4361344537815124,-0.5110731792717088,150.0,203.0
176,SADLBACK_RN,-3415.2639999999997,-737.8664999999999,-2677.3975,1655.6,-2223.5,30.13487394957983,40.33506044905009,5.6087815126050415,10.846783246977548,18.995378151260503,-0.5017883403361344,9.9,199.0
