rank,node,net_revenue,offer_revenue,bid_revenue,days_active,hsl,avg_win_rate,avg_profit_loss_ratio,total_offer_mw,total_bid_mw
60,CROSSTRL_RN,4709.221200000001,-1278.9528,5988.174,205,57.0,45.164279731993304,12.18141122278057,2794.5,-6441.799999999999
61,ESCONDID_ESR,3473.2065,-785.058,4258.2645,203,0.0,49.888959390862944,20.08741116751269,527.6,-3993.4
62,BRP_BRAZ_RN,3300.8406499999996,3095.4109,205.42974999999987,126,9.9,38.16041666666667,17.409166666666668,503.5,-746.8000000000001
63,TORT_ESS_RN,3248.96875,2046.3897499999998,1202.5789999999997,172,48.0,28.59879518072289,22.546757028112452,805.2,-558.5
64,SWOOSE1_U1,3126.10099,10162.46339,-7036.3624,206,9.9,44.913916666666665,8.165633333333334,2001.4,-3340.2000000000003
65,LONESTAR_RN,3108.846550000001,-0.6504499999999585,3109.497000000001,191,9.9,45.17225225225225,21.168216216216216,146.1,-3032.3999999999996
66,BKSL_RN,3103.337,7576.852500000001,-4473.5154999999995,205,100.0,44.539782244556115,8.172684254606365,3059.5,-6005.099999999999
67,BRP_SWNY_RN,3075.1809200000007,3193.9784200000004,-118.79749999999996,91,9.9,39.90519607843137,22.230254901960787,226.1,-169.4
68,DIBOL_RN,2989.7095,154.3017499999997,2835.40775,177,3.3,22.238011695906433,16.36501461988304,486.8,-1121.0
69,BLACKSPR_RN,2931.6089999999995,-2751.4545000000003,5683.0635,169,120.0,50.172494887525566,30.09806748466258,2136.3,-4209.6
70,SGSA_DGR,2885.70725,-150.888,3036.5952500000003,169,9.9,53.66719512195122,37.158067073170734,61.3,-2271.1
71,ARY_BESS_RN,2599.9355000000005,180.9062500000001,2419.02925,130,0.0,29.59489247311828,2.1191666666666666,283.5,-3871.5
72,AMAD_ESS_RN,2458.158,2713.7157499999994,-255.5577499999999,131,100.0,29.175066666666666,7.829533333333334,861.3,-1324.7
73,RVRVLYS_ALL,2453.4171599999963,3027.08041,-573.66325,202,50.0,49.147959183673464,14.381394557823128,7449.599999999999,-1416.6999999999998
74,MNWL_BESS_RN,2385.9497500000016,-2647.885999999999,5033.83575,200,9.9,48.76778350515464,29.142250859106525,2002.3,-989.4
